step	root_mean_squared_error
0	57.17111587524414
1	57.124385833740234
2	57.1220588684082
3	57.121299743652344
4	57.12091827392578
5	57.12071228027344
6	57.12059020996094
7	57.1204948425293
8	57.12043762207031
9	57.12039566040039
10	57.120361328125
11	57.120330810546875
12	57.12033462524414
13	57.12030792236328
14	57.12028503417969
15	57.120277404785156
16	57.120269775390625
17	57.120269775390625
18	57.12027359008789
19	57.12025833129883
20	57.12025833129883
21	57.120262145996094
22	57.120243072509766
23	57.1202507019043
24	57.12025451660156
25	57.12025451660156
26	57.12025451660156
27	57.120243072509766
28	57.120243072509766
29	57.12023162841797
30	57.120243072509766
31	57.12025451660156
32	57.1202507019043
33	57.1202507019043
34	57.1202392578125
35	57.120235443115234
36	57.1202507019043
