step	custom_r_squared
0	-59.38932800292969
1	-59.06309127807617
2	-59.34819030761719
3	-59.277320861816406
4	-59.50080108642578
5	-59.23781967163086
6	-59.26234817504883
7	-59.52719497680664
8	-59.31438064575195
9	-59.41825485229492
10	-59.22980499267578
