step	mean_absolute_percentage_error
0	98.33085632324219
1	98.24880981445312
2	98.24462890625
3	98.24324798583984
4	98.24249267578125
5	98.2421646118164
6	98.24195098876953
7	98.24176788330078
8	98.24166870117188
9	98.2415771484375
10	98.24151611328125
11	98.2414779663086
12	98.24142456054688
13	98.24140167236328
14	98.24140167236328
15	98.24131774902344
16	98.24131774902344
17	98.24138641357422
18	98.24136352539062
19	98.2413558959961
20	98.24139404296875
21	98.2413101196289
22	98.24134063720703
23	98.24124145507812
24	98.24124145507812
25	98.24134063720703
26	98.24130249023438
27	98.2413101196289
28	98.24134063720703
29	98.2413101196289
30	98.24128723144531
31	98.24127960205078
32	98.24132537841797
33	98.2413101196289
34	98.24126434326172
35	98.24127197265625
36	98.2412338256836
