step	mean_absolute_error
0	56.75243377685547
1	56.70561981201172
2	56.70327377319336
3	56.70246505737305
4	56.702110290527344
5	56.7018928527832
6	56.70170211791992
7	56.701637268066406
8	56.701568603515625
9	56.70156478881836
10	56.7015266418457
11	56.701507568359375
12	56.701480865478516
13	56.70148849487305
14	56.70143127441406
15	56.70146179199219
16	56.701446533203125
17	56.70146942138672
18	56.701454162597656
19	56.70140838623047
20	56.701412200927734
21	56.701393127441406
22	56.701377868652344
23	56.7014274597168
24	56.7014045715332
25	56.701393127441406
26	56.7014045715332
27	56.70139694213867
28	56.70140838623047
29	56.701416015625
30	56.701393127441406
31	56.70143127441406
32	56.70138931274414
33	56.701416015625
34	56.70140838623047
35	56.70140838623047
36	56.70138931274414
