step	r2_score
0	-67.56367492675781
1	-67.45250701904297
2	-67.44298553466797
3	-67.4442367553711
4	-67.43587493896484
5	-67.44239044189453
6	-67.43814849853516
7	-67.43704986572266
8	-67.43778991699219
9	-67.44163513183594
10	-67.44680786132812
11	-67.43797302246094
12	-67.43272399902344
13	-67.44186401367188
14	-67.43830108642578
15	-67.44309997558594
16	-67.44264221191406
17	-67.44396209716797
18	-67.44528198242188
19	-67.43736267089844
20	-67.43911743164062
21	-67.43605041503906
22	-67.4338150024414
23	-67.4426040649414
24	-67.43604278564453
25	-67.4391098022461
26	-67.44129180908203
27	-67.44126892089844
28	-67.43775939941406
29	-67.44430541992188
30	-67.43907928466797
31	-67.44874572753906
32	-67.43821716308594
33	-67.44127655029297
34	-67.43643951416016
35	-67.43730163574219
36	-67.43821716308594
