step	custom_r_squared
0	-2212.33251953125
1	-2377.560302734375
2	-2217.143798828125
3	-2204.882080078125
4	-2586.19970703125
5	-2181.803466796875
6	-2288.022705078125
7	-2147.542724609375
8	-2212.810546875
9	-2448.06884765625
