step	root_mean_squared_error
0	74.01747131347656
1	74.04122161865234
2	73.95848083496094
3	73.865478515625
4	73.78433227539062
5	73.795654296875
6	73.72381591796875
7	73.67776489257812
8	73.61100006103516
9	73.56343078613281
10	73.4073257446289
11	73.4242172241211
12	73.35066223144531
13	73.2060546875
14	73.24890899658203
15	73.20561218261719
16	73.02468872070312
17	72.98540496826172
18	72.9632339477539
19	72.82414245605469
20	72.78152465820312
21	72.6823501586914
22	72.63941955566406
23	72.48188781738281
24	72.41942596435547
25	72.34050750732422
26	72.27253723144531
27	72.1568374633789
28	72.0188980102539
29	71.96967315673828
30	71.76852416992188
31	71.702392578125
32	71.62983703613281
33	71.5277099609375
34	71.317138671875
35	71.2404556274414
36	71.10929870605469
37	70.95702362060547
38	70.76517486572266
39	70.60702514648438
40	70.49776458740234
41	70.3827896118164
42	70.17282104492188
43	70.03495025634766
44	69.83545684814453
45	69.65477752685547
46	69.45354461669922
47	69.22523498535156
48	69.10254669189453
49	68.8701400756836
50	68.74151611328125
51	68.47040557861328
52	68.192138671875
53	67.93924713134766
54	67.7824478149414
55	67.53821563720703
56	67.32028198242188
57	66.95700073242188
58	66.82658386230469
59	66.53067016601562
60	66.32098388671875
61	65.91755676269531
62	65.62820434570312
63	65.2933349609375
64	65.14286804199219
65	64.70990753173828
66	64.51673126220703
67	64.17229461669922
68	63.78033447265625
69	63.506805419921875
70	63.03551483154297
71	62.90068435668945
72	62.39356994628906
73	62.17165756225586
74	61.75870132446289
75	61.463722229003906
76	60.88276290893555
77	60.70569610595703
78	60.24048614501953
79	59.80882263183594
80	59.42591094970703
81	59.12688064575195
82	58.778297424316406
83	58.23177719116211
84	58.01325225830078
85	57.194828033447266
86	57.035404205322266
87	56.48507308959961
88	56.06752395629883
89	55.5916633605957
90	55.16786193847656
91	54.75100326538086
92	54.39762496948242
93	53.72145080566406
94	53.397953033447266
95	52.98048400878906
96	52.56108856201172
97	52.030941009521484
98	51.41048812866211
99	51.09370422363281
100	50.45459747314453
101	50.11222457885742
102	49.37086868286133
103	49.01789474487305
104	48.57584762573242
105	48.12416076660156
106	47.58860778808594
107	46.89042663574219
108	46.624855041503906
109	45.796077728271484
110	45.71273422241211
111	44.9099235534668
112	44.448184967041016
113	43.883689880371094
114	43.590999603271484
115	42.888092041015625
116	42.191322326660156
117	41.65812301635742
118	41.201576232910156
119	40.66621398925781
120	40.10111618041992
121	39.42036437988281
122	38.941585540771484
123	38.776222229003906
124	38.01328659057617
125	37.40198516845703
126	37.00615692138672
127	36.52265930175781
128	35.88477325439453
129	35.40529251098633
130	34.790069580078125
131	34.4171142578125
132	33.978363037109375
133	33.09596252441406
134	32.781681060791016
135	32.004024505615234
136	31.750225067138672
137	31.34524917602539
138	30.735605239868164
139	30.251604080200195
140	29.745277404785156
141	29.157869338989258
142	28.764720916748047
143	28.160381317138672
144	27.5765438079834
145	27.034656524658203
146	26.574975967407227
147	25.888107299804688
148	25.729652404785156
149	25.08357048034668
150	24.60130500793457
151	24.19601058959961
152	23.636018753051758
153	23.1779727935791
154	22.811132431030273
155	22.523754119873047
156	21.986927032470703
157	21.383766174316406
158	20.839086532592773
159	20.622657775878906
160	20.201032638549805
161	19.686161041259766
162	18.92224884033203
163	18.782426834106445
164	18.402494430541992
165	17.896556854248047
166	17.63072395324707
167	17.0552978515625
168	16.586318969726562
169	16.178207397460938
170	15.901703834533691
171	15.571741104125977
172	15.104207992553711
173	14.98169994354248
174	14.683431625366211
175	14.066246032714844
176	13.9732084274292
177	13.441028594970703
178	13.102432250976562
179	12.554643630981445
180	12.647390365600586
181	11.85788345336914
182	11.728358268737793
183	11.61550521850586
184	11.215662002563477
185	10.889408111572266
186	10.733560562133789
187	10.28843879699707
188	10.130755424499512
189	9.943225860595703
190	9.65367317199707
191	9.443097114562988
192	9.141263961791992
193	9.107172012329102
194	8.467504501342773
195	8.470608711242676
196	8.223729133605957
197	8.264938354492188
198	7.914650917053223
199	7.616087436676025
200	7.457545757293701
201	7.7452168464660645
202	6.859492778778076
203	6.986203670501709
204	6.889954090118408
205	6.6545562744140625
206	6.357430934906006
207	6.521512031555176
208	6.064923286437988
209	6.128965377807617
210	5.617109298706055
211	5.6267619132995605
212	5.904702186584473
213	5.81209659576416
214	5.693778991699219
215	5.906057834625244
216	5.522602081298828
217	5.367705821990967
218	5.207610607147217
219	5.42787504196167
220	5.309604644775391
221	5.009320259094238
222	5.071676254272461
223	4.951651096343994
224	4.870523452758789
225	4.92476224899292
