step	mean_absolute_error
0	73.97969055175781
1	74.00727081298828
2	73.92575073242188
3	73.83478546142578
4	73.7543716430664
5	73.76763153076172
6	73.69698333740234
7	73.65225982666016
8	73.58666229248047
9	73.53839111328125
10	73.38373565673828
11	73.40225982666016
12	73.32933807373047
13	73.18424987792969
14	73.22836303710938
15	73.18571472167969
16	73.00408172607422
17	72.96536254882812
18	72.94295501708984
19	72.80386352539062
20	72.76140594482422
21	72.66372680664062
22	72.6199951171875
23	72.46240234375
24	72.40181732177734
25	72.32245635986328
26	72.2541732788086
27	72.13831329345703
28	72.00151824951172
29	71.952880859375
30	71.75205993652344
31	71.68357849121094
32	71.61263275146484
33	71.51123046875
34	71.29965209960938
35	71.22357940673828
36	71.08956146240234
37	70.93934631347656
38	70.74825286865234
39	70.58702087402344
40	70.48078155517578
41	70.36459350585938
42	70.154052734375
43	70.0137939453125
44	69.81649017333984
45	69.63448333740234
46	69.43500518798828
47	69.20568084716797
48	69.08236694335938
49	68.85132598876953
50	68.72086334228516
51	68.45118713378906
52	68.17049407958984
53	67.92048645019531
54	67.76273345947266
55	67.5164566040039
56	67.29721069335938
57	66.93385314941406
58	66.8050537109375
59	66.50845336914062
60	66.29808807373047
61	65.8925552368164
62	65.60286712646484
63	65.2677001953125
64	65.12310028076172
65	64.68634033203125
66	64.48969268798828
67	64.1456527709961
68	63.7529182434082
69	63.478599548339844
70	63.008888244628906
71	62.87298583984375
72	62.362552642822266
73	62.14037322998047
74	61.72694778442383
75	61.43465805053711
76	60.84954071044922
77	60.67081069946289
78	60.20763397216797
79	59.77609634399414
80	59.388423919677734
81	59.090843200683594
82	58.734554290771484
83	58.19139862060547
84	57.97298049926758
85	57.15772247314453
86	57.00032043457031
87	56.43661117553711
88	56.02439498901367
89	55.542869567871094
90	55.118202209472656
91	54.70157241821289
92	54.35253143310547
93	53.6696891784668
94	53.35590362548828
95	52.93198013305664
96	52.50882339477539
97	51.98259353637695
98	51.350528717041016
99	51.042205810546875
100	50.397674560546875
101	50.048526763916016
102	49.290565490722656
103	48.95581817626953
104	48.509918212890625
105	48.05218505859375
106	47.51893997192383
107	46.81886291503906
108	46.55537414550781
109	45.71674728393555
110	45.638526916503906
111	44.8244514465332
112	44.37479019165039
113	43.80262756347656
114	43.50973892211914
115	42.79624938964844
116	42.10580062866211
117	41.572696685791016
118	41.093055725097656
119	40.576446533203125
120	39.993202209472656
121	39.31427764892578
122	38.843017578125
123	38.6613883972168
124	37.904972076416016
125	37.286293029785156
126	36.88319396972656
127	36.4002685546875
128	35.744346618652344
129	35.269351959228516
130	34.648414611816406
131	34.26724624633789
132	33.82149124145508
133	32.92007827758789
134	32.636722564697266
135	31.833995819091797
136	31.590917587280273
137	31.177942276000977
138	30.575572967529297
139	30.085693359375
140	29.573137283325195
141	28.973302841186523
142	28.600421905517578
143	27.974626541137695
144	27.377840042114258
145	26.835649490356445
146	26.39612579345703
147	25.674755096435547
148	25.501344680786133
149	24.833677291870117
150	24.389150619506836
151	23.9681396484375
152	23.362707138061523
153	22.92843246459961
154	22.564512252807617
155	22.233078002929688
156	21.69546890258789
157	21.04376792907715
158	20.50933074951172
159	20.26184844970703
160	19.83734130859375
161	19.301544189453125
162	18.606266021728516
163	18.429269790649414
164	18.0152645111084
165	17.52035140991211
166	17.274993896484375
167	16.625629425048828
168	16.139554977416992
169	15.74502182006836
170	15.473736763000488
171	15.02920150756836
172	14.637452125549316
173	14.455947875976562
174	14.184966087341309
175	13.532549858093262
176	13.367361068725586
177	12.895795822143555
178	12.558642387390137
179	11.989922523498535
180	11.97215747833252
181	11.301800727844238
182	11.155406951904297
183	10.963868141174316
184	10.537444114685059
185	10.275145530700684
186	10.01559066772461
187	9.526651382446289
188	9.350264549255371
189	9.095254898071289
190	8.878825187683105
191	8.54022216796875
192	8.322648048400879
193	8.20470142364502
194	7.600461483001709
195	7.644094944000244
196	7.295335292816162
197	7.233091354370117
198	6.923764705657959
199	6.724252223968506
200	6.502283573150635
201	6.682063579559326
202	5.909463882446289
203	5.986009120941162
204	5.8166117668151855
205	5.611451148986816
206	5.346165657043457
207	5.483753204345703
208	4.997379779815674
209	4.975149631500244
210	4.588514804840088
211	4.667008399963379
212	4.762110710144043
213	4.750887393951416
214	4.538345813751221
215	4.747365951538086
216	4.470233917236328
217	4.36421537399292
218	4.048255920410156
219	4.2053704261779785
220	4.186003684997559
221	3.9903273582458496
222	3.987696409225464
223	3.8660364151000977
224	3.8461692333221436
225	3.844633102416992
