step	mean_absolute_percentage_error
0	99.87690734863281
1	99.91800689697266
2	99.80919647216797
3	99.6893310546875
4	99.58173370361328
5	99.6008529663086
6	99.50553894042969
7	99.44740295410156
8	99.35799407958984
9	99.29334259033203
10	99.0858383178711
11	99.11222076416016
12	99.01513671875
13	98.81846618652344
14	98.87873840332031
15	98.82432556152344
16	98.57655334472656
17	98.52532958984375
18	98.49491882324219
19	98.30789947509766
20	98.25074005126953
21	98.1188735961914
22	98.06063842773438
23	97.84797668457031
24	97.76904296875
25	97.66058349609375
26	97.56756591796875
27	97.41197204589844
28	97.227783203125
29	97.16264343261719
30	96.89472961425781
31	96.8000717163086
32	96.70552062988281
33	96.56963348388672
34	96.2841567993164
35	96.18040466308594
36	95.99760437011719
37	95.79693603515625
38	95.53947448730469
39	95.32110595703125
40	95.17993927001953
41	95.02273559570312
42	94.73625946044922
43	94.54750061035156
44	94.2848892211914
45	94.03479766845703
46	93.76741790771484
47	93.45941162109375
48	93.29280090332031
49	92.98101806640625
50	92.80506134033203
51	92.44297790527344
52	92.06354522705078
53	91.72650909423828
54	91.51675415039062
55	91.18101501464844
56	90.88399505615234
57	90.39776611328125
58	90.22341918945312
59	89.82230377197266
60	89.53952026367188
61	88.98645782470703
62	88.5978775024414
63	88.14701843261719
64	87.95124053955078
65	87.36141967773438
66	87.09574890136719
67	86.62787628173828
68	86.09916687011719
69	85.72884368896484
70	85.09796142578125
71	84.9169921875
72	84.22555541992188
73	83.92317962646484
74	83.36988830566406
75	82.97315979003906
76	82.1828842163086
77	81.93756866455078
78	81.31326293945312
79	80.73263549804688
80	80.2087173461914
81	79.80996704101562
82	79.32659912109375
83	78.59284210205078
84	78.2983169555664
85	77.19628143310547
86	76.9919204711914
87	76.22277069091797
88	75.66403198242188
89	75.0080795288086
90	74.43909454345703
91	73.8758773803711
92	73.4104232788086
93	72.48800659179688
94	72.06666564941406
95	71.49162292480469
96	70.91852569580078
97	70.21039581298828
98	69.3542251586914
99	68.94136810302734
100	68.06520080566406
101	67.59605407714844
102	66.57372283935547
103	66.12906646728516
104	65.52603149414062
105	64.89954376220703
106	64.18272399902344
107	63.23906326293945
108	62.876014709472656
109	61.73751449584961
110	61.643310546875
111	60.54241943359375
112	59.93870162963867
113	59.15852737426758
114	58.761383056640625
115	57.79684066772461
116	56.861656188964844
117	56.14374923706055
118	55.498291015625
119	54.80132293701172
120	54.0206413269043
121	53.09372329711914
122	52.468223571777344
123	52.21809768676758
124	51.197998046875
125	50.34988021850586
126	49.810909271240234
127	49.16673278808594
128	48.279388427734375
129	47.62805938720703
130	46.794517517089844
131	46.272064208984375
132	45.673828125
133	44.46030807495117
134	44.080780029296875
135	42.992218017578125
136	42.66765594482422
137	42.103572845458984
138	41.294158935546875
139	40.632259368896484
140	39.94257354736328
141	39.12997817993164
142	38.62096405029297
143	37.783390045166016
144	36.97164535522461
145	36.24368667602539
146	35.64383316040039
147	34.67519760131836
148	34.43474578857422
149	33.52851867675781
150	32.940635681152344
151	32.37168502807617
152	31.56578826904297
153	30.973989486694336
154	30.47817611694336
155	30.026254653930664
156	29.291786193847656
157	28.41932487487793
158	27.701839447021484
159	27.355777740478516
160	26.791290283203125
161	26.06309700012207
162	25.129329681396484
163	24.885513305664062
164	24.32769203186035
165	23.655553817749023
166	23.328317642211914
167	22.451398849487305
168	21.80339241027832
169	21.257314682006836
170	20.889982223510742
171	20.28941535949707
172	19.762008666992188
173	19.511878967285156
174	19.15608787536621
175	18.2775936126709
176	18.047927856445312
177	17.405733108520508
178	16.955265045166016
179	16.190935134887695
180	16.158639907836914
181	15.261150360107422
182	15.063072204589844
183	14.803983688354492
184	14.226500511169434
185	13.872696876525879
186	13.5188570022583
187	12.859540939331055
188	12.624307632446289
189	12.281705856323242
190	11.981027603149414
191	11.536853790283203
192	11.230912208557129
193	11.079124450683594
194	10.256540298461914
195	10.310659408569336
196	9.856513023376465
197	9.760284423828125
198	9.350897789001465
199	9.079841613769531
200	8.764640808105469
201	9.015934944152832
202	7.974109172821045
203	8.085909843444824
204	7.854659080505371
205	7.572904109954834
206	7.214763164520264
207	7.406998157501221
208	6.753563404083252
209	6.711775302886963
210	6.190004825592041
211	6.29428768157959
212	6.430706024169922
213	6.419521331787109
214	6.119598388671875
215	6.401671886444092
216	6.036123275756836
217	5.893916130065918
218	5.461091995239258
219	5.680251598358154
220	5.6472063064575195
221	5.393624782562256
222	5.385990142822266
223	5.217893600463867
224	5.187262535095215
225	5.189713954925537
