step	loss
0	5478.58544921875
1	5482.1025390625
2	5469.8564453125
3	5456.10986328125
4	5444.12744140625
5	5445.798828125
6	5435.20068359375
7	5428.4130859375
8	5418.5791015625
9	5411.57861328125
10	5388.63623046875
11	5391.1162109375
12	5380.3193359375
13	5359.12646484375
14	5365.40283203125
15	5359.0615234375
16	5332.60498046875
17	5326.8701171875
18	5323.6337890625
19	5303.35595703125
20	5297.150390625
21	5282.72412109375
22	5276.484375
23	5253.62353515625
24	5244.572265625
25	5233.1484375
26	5223.31884765625
27	5206.609375
28	5186.72119140625
29	5179.63330078125
30	5150.72119140625
31	5141.23291015625
32	5130.833984375
33	5116.21337890625
34	5086.13427734375
35	5075.20263671875
36	5056.53173828125
37	5034.89892578125
38	5007.7099609375
39	4985.3515625
40	4969.93408203125
41	4953.7373046875
42	4924.224609375
43	4904.89404296875
44	4876.9912109375
45	4851.78857421875
46	4823.79443359375
47	4792.13330078125
48	4775.16162109375
49	4743.09619140625
50	4725.396484375
51	4688.1962890625
52	4650.16748046875
53	4615.74169921875
54	4594.4599609375
55	4561.4111328125
56	4532.0205078125
57	4483.2392578125
58	4465.7919921875
59	4426.330078125
60	4398.47265625
61	4345.1240234375
62	4307.0615234375
63	4263.21923828125
64	4243.59375
65	4187.37255859375
66	4162.40869140625
67	4118.083984375
68	4067.931640625
69	4033.1142578125
70	3973.47705078125
71	3956.495361328125
72	3892.95751953125
73	3865.315185546875
74	3814.13671875
75	3777.788330078125
76	3706.71044921875
77	3685.181884765625
78	3628.916015625
79	3577.095703125
80	3531.43896484375
81	3495.988037109375
82	3454.88818359375
83	3390.940185546875
84	3365.537109375
85	3271.248046875
86	3253.037109375
87	3190.563720703125
88	3143.567138671875
89	3090.432373046875
90	3043.493408203125
91	2997.672119140625
92	2959.101806640625
93	2885.993896484375
94	2851.3408203125
95	2806.931640625
96	2762.66845703125
97	2707.218994140625
98	2643.037841796875
99	2610.56640625
100	2545.666259765625
101	2511.235107421875
102	2437.482666015625
103	2402.75390625
104	2359.613037109375
105	2315.9345703125
106	2264.675537109375
107	2198.7119140625
108	2173.876953125
109	2097.280517578125
110	2089.65380859375
111	2016.9010009765625
112	1975.6412353515625
113	1925.7781982421875
114	1900.17529296875
115	1839.3885498046875
116	1780.107421875
117	1735.399169921875
118	1697.5697021484375
119	1653.7408447265625
120	1608.099609375
121	1553.965087890625
122	1516.4471435546875
123	1503.595458984375
124	1445.0098876953125
125	1398.9083251953125
126	1369.4556884765625
127	1333.904541015625
128	1287.716796875
129	1253.5347900390625
130	1210.348876953125
131	1184.53759765625
132	1154.529296875
133	1095.3426513671875
134	1074.638671875
135	1024.257568359375
136	1008.07666015625
137	982.524658203125
138	944.6773681640625
139	915.1596069335938
140	884.7815551757812
141	850.181396484375
142	827.4091186523438
143	793.0070190429688
144	760.4658203125
145	730.8726196289062
146	706.2293701171875
147	670.1939697265625
148	662.0150146484375
149	629.1854858398438
150	605.22412109375
151	585.4469604492188
152	558.661376953125
153	537.2183837890625
154	520.3477172851562
155	507.3195495605469
156	483.4249267578125
157	457.26544189453125
158	434.26751708984375
159	425.29400634765625
160	408.0816955566406
161	387.544921875
162	358.0514831542969
163	352.779541015625
164	338.6517639160156
165	320.2867431640625
166	310.8424072265625
167	290.8831787109375
168	275.10595703125
169	261.7344055175781
170	252.8641815185547
171	242.47909545898438
172	228.13711547851562
173	224.45132446289062
174	215.6031494140625
175	197.85926818847656
176	195.25054931640625
177	180.66123962402344
178	171.67372131347656
179	157.61907958984375
180	159.95648193359375
181	140.6094207763672
182	137.55438232421875
183	134.91995239257812
184	125.79108428955078
185	118.57920837402344
186	115.20932006835938
187	105.85196685791016
188	102.6322021484375
189	98.86772918701172
190	93.19339752197266
191	89.17208862304688
192	83.56271362304688
193	82.9405746459961
194	71.6986312866211
195	71.75120544433594
196	67.62971496582031
197	68.3092041015625
198	62.641693115234375
199	58.004783630371094
200	55.6149787902832
201	59.988380432128906
202	47.052635192871094
203	48.80704116821289
204	47.47146987915039
205	44.283119201660156
206	40.41692352294922
207	42.53011703491211
208	36.78329849243164
209	37.56421661376953
210	31.551918029785156
211	31.66044807434082
212	34.86550521850586
213	33.780460357666016
214	32.41912078857422
215	34.88151931762695
216	30.499130249023438
217	28.812267303466797
218	27.11920928955078
219	29.46182632446289
220	28.1919002532959
221	25.09328842163086
222	25.72190284729004
223	24.518844604492188
224	23.722000122070312
225	24.253280639648438
