step	mean_squared_error
0	3298.454345703125
1	3290.165771484375
2	3289.794189453125
3	3289.669189453125
4	3289.612060546875
5	3289.5791015625
6	3289.55712890625
7	3289.545166015625
8	3289.534912109375
9	3289.531494140625
10	3289.522705078125
11	3289.52197265625
12	3289.519287109375
13	3289.516845703125
14	3289.513916015625
15	3289.511962890625
16	3289.51171875
17	3289.509521484375
18	3289.510986328125
19	3289.5107421875
20	3289.50830078125
21	3289.509521484375
22	3289.508544921875
23	3289.50732421875
24	3289.506103515625
25	3289.506103515625
26	3289.5068359375
27	3289.50732421875
28	3289.50537109375
29	3289.5068359375
30	3289.5068359375
31	3289.506103515625
32	3289.509521484375
33	3289.505615234375
34	3289.507080078125
35	3289.50537109375
36	3289.507080078125
37	3289.50732421875
38	3289.507080078125
39	3289.5048828125
40	3289.50732421875
41	3289.50537109375
42	3289.505615234375
43	3289.506103515625
44	3289.50732421875
45	3289.506103515625
46	3289.506103515625
47	3289.506591796875
48	3289.507080078125
49	3289.50537109375
50	3289.5078125
