step	mean_absolute_error
0	57.011234283447266
1	56.93809127807617
2	56.93474197387695
3	56.93361282348633
4	56.9331169128418
5	56.93284606933594
6	56.93265914916992
7	56.93254470825195
8	56.93244934082031
9	56.932395935058594
10	56.93233871459961
11	56.93231201171875
12	56.932281494140625
13	56.932254791259766
14	56.932193756103516
15	56.93221664428711
16	56.932212829589844
17	56.93220520019531
18	56.932220458984375
19	56.932193756103516
20	56.932159423828125
21	56.93219757080078
22	56.93217468261719
23	56.93219757080078
24	56.93218231201172
25	56.93217468261719
26	56.93217849731445
27	56.932167053222656
28	56.93214797973633
29	56.93219757080078
30	56.93216323852539
31	56.93212127685547
32	56.93219757080078
33	56.93215560913086
34	56.93219757080078
35	56.93218231201172
36	56.9321403503418
37	56.93213653564453
38	56.932167053222656
39	56.9321403503418
40	56.93218231201172
41	56.93217849731445
42	56.932159423828125
43	56.93216323852539
44	56.93218231201172
45	56.93217849731445
46	56.93216323852539
47	56.93217849731445
48	56.93216323852539
49	56.932167053222656
50	56.932159423828125
