step	root_mean_squared_error
0	57.43217086791992
1	57.35996627807617
2	57.356727600097656
3	57.35563659667969
4	57.355140686035156
5	57.35485076904297
6	57.35466003417969
7	57.354557037353516
8	57.35446548461914
9	57.354434967041016
10	57.3543586730957
11	57.35435485839844
12	57.354331970214844
13	57.35430908203125
14	57.35428237915039
15	57.35426712036133
16	57.35426330566406
17	57.354244232177734
18	57.3542594909668
19	57.35425567626953
20	57.35423278808594
21	57.354244232177734
22	57.3542366027832
23	57.354225158691406
24	57.35421371459961
25	57.35421371459961
26	57.35422134399414
27	57.354225158691406
28	57.354209899902344
29	57.35422134399414
30	57.35422134399414
31	57.35421371459961
32	57.354244232177734
33	57.354209899902344
34	57.354225158691406
35	57.354209899902344
36	57.354225158691406
37	57.354225158691406
38	57.354225158691406
39	57.35420608520508
40	57.354225158691406
41	57.354209899902344
42	57.354209899902344
43	57.35421371459961
44	57.354225158691406
45	57.35421371459961
46	57.35421371459961
47	57.35422134399414
48	57.354225158691406
49	57.354209899902344
50	57.35422897338867
