step	r_squared
0	-75.97132110595703
1	-66.49620056152344
2	-48.386070251464844
3	-26.626243591308594
4	-9.84647274017334
5	-2.283273935317993
6	-0.2890316843986511
7	0.007239712867885828
8	0.0630580261349678
9	0.08090232312679291
10	0.096991628408432
11	0.12043272703886032
12	0.1296040266752243
13	0.15698932111263275
14	0.19487544894218445
15	0.21303316950798035
16	0.224342480301857
17	0.23775048553943634
18	0.2473323494195938
19	0.28591033816337585
20	0.26776763796806335
21	0.2898804545402527
22	0.32379767298698425
23	0.3245062828063965
24	0.3279680609703064
25	0.36444732546806335
26	0.35659924149513245
27	0.37276920676231384
28	0.38629987835884094
29	0.37890276312828064
