step	loss
0	3277.82421875
1	2879.281005859375
2	2112.512939453125
3	1173.6202392578125
4	463.444580078125
5	140.7508087158203
6	56.17058181762695
7	43.24179458618164
8	40.91614532470703
9	40.3056755065918
10	39.3497314453125
11	38.4687614440918
12	37.72473907470703
13	36.92830276489258
14	35.31028747558594
15	34.44729232788086
16	33.84625244140625
17	33.255516052246094
18	32.80109786987305
19	31.45406150817871
20	31.891590118408203
21	31.004840850830078
22	29.65615463256836
23	29.414714813232422
24	29.404630661010742
25	27.597414016723633
26	28.088964462280273
27	27.369611740112305
28	26.64666748046875
29	26.85584831237793
