step	custom_r_squared
0	-60.8804817199707
1	-60.7175178527832
2	-60.715328216552734
3	-60.81576919555664
4	-60.79224395751953
5	-60.897708892822266
6	-60.61226272583008
7	-60.73611068725586
8	-60.740169525146484
9	-60.71617889404297
10	-60.63227462768555
