step	r2_score
0	-72.8787612915039
1	-72.60813903808594
2	-72.60214233398438
3	-72.59246826171875
4	-72.59410095214844
5	-72.59320831298828
6	-72.60376739501953
7	-72.59011840820312
8	-72.59683990478516
9	-72.59339904785156
10	-72.59015655517578
11	-72.58895874023438
12	-72.59579467773438
13	-72.58934020996094
14	-72.59036254882812
15	-72.59613800048828
16	-72.5966796875
17	-72.5918960571289
18	-72.59130096435547
19	-72.59764862060547
20	-72.59337615966797
21	-72.59391784667969
22	-72.5923080444336
23	-72.59284973144531
24	-72.59021759033203
25	-72.58544158935547
26	-72.5933609008789
27	-72.58697509765625
28	-72.59758758544922
29	-72.59070587158203
30	-72.5943832397461
31	-72.59126281738281
32	-72.58802032470703
33	-72.59069061279297
34	-72.59119415283203
35	-72.60022735595703
36	-72.5906753540039
37	-72.59170532226562
38	-72.5965347290039
39	-72.58694458007812
40	-72.59176635742188
41	-72.59705352783203
42	-72.59490966796875
43	-72.58753967285156
