step	loss
0	3135.6025390625
1	3124.25146484375
2	3123.794921875
3	3123.65380859375
4	3123.58837890625
5	3123.550537109375
6	3123.52685546875
7	3123.50927734375
8	3123.50244140625
9	3123.4912109375
10	3123.48828125
11	3123.482421875
12	3123.48046875
13	3123.476318359375
14	3123.474853515625
15	3123.47265625
16	3123.47314453125
17	3123.472412109375
18	3123.469482421875
19	3123.46923828125
20	3123.4677734375
21	3123.46826171875
22	3123.467529296875
23	3123.4677734375
24	3123.46826171875
25	3123.4677734375
26	3123.467041015625
27	3123.465576171875
28	3123.466796875
29	3123.466796875
30	3123.465576171875
31	3123.468017578125
32	3123.465087890625
33	3123.46630859375
34	3123.465087890625
35	3123.466552734375
36	3123.46533203125
37	3123.46435546875
38	3123.467041015625
39	3123.46435546875
40	3123.466796875
41	3123.466552734375
42	3123.465576171875
43	3123.467041015625
