step	custom_r_squared
0	-74.7914047241211
1	-74.36199188232422
2	-74.594482421875
3	-74.62596130371094
4	-74.5359115600586
5	-74.62017059326172
6	-74.68846893310547
7	-74.7108154296875
8	-74.50482940673828
9	-74.42340850830078
10	-74.59105682373047
