step	root_mean_squared_error
0	55.99645233154297
1	55.89500427246094
2	55.89091873168945
3	55.88965606689453
4	55.88907241821289
5	55.88873291015625
6	55.888519287109375
7	55.888362884521484
8	55.888301849365234
9	55.88820266723633
10	55.88817596435547
11	55.88812255859375
12	55.88810729980469
13	55.88806915283203
14	55.88805389404297
15	55.88803482055664
16	55.888038635253906
17	55.88803482055664
18	55.88800811767578
19	55.888004302978516
20	55.88799285888672
21	55.887996673583984
22	55.88798904418945
23	55.88799285888672
24	55.887996673583984
25	55.88799285888672
26	55.88798522949219
27	55.88797378540039
28	55.88798522949219
29	55.88798522949219
30	55.88797378540039
31	55.88799285888672
32	55.88796615600586
33	55.887977600097656
34	55.88796615600586
35	55.88798141479492
36	55.887969970703125
37	55.887962341308594
38	55.88798522949219
39	55.887962341308594
40	55.88798522949219
41	55.88798141479492
42	55.88797378540039
43	55.88798522949219
