step	mean_absolute_error
0	55.61680603027344
1	55.514244079589844
2	55.51002883911133
3	55.50868225097656
4	55.50808334350586
5	55.50773620605469
6	55.50751495361328
7	55.507381439208984
8	55.50728988647461
9	55.50718688964844
10	55.507164001464844
11	55.507118225097656
12	55.507110595703125
13	55.50705337524414
14	55.507049560546875
15	55.507041931152344
16	55.50703811645508
17	55.50699996948242
18	55.50699234008789
19	55.50701904296875
20	55.50701141357422
21	55.50700378417969
22	55.50697708129883
23	55.506980895996094
24	55.50697326660156
25	55.50697708129883
26	55.506961822509766
27	55.5069580078125
28	55.50699234008789
29	55.50697326660156
30	55.506961822509766
31	55.50697326660156
32	55.506954193115234
33	55.5069465637207
34	55.506961822509766
35	55.50701141357422
36	55.506961822509766
37	55.50696563720703
38	55.50697326660156
39	55.50694274902344
40	55.506961822509766
41	55.50697326660156
42	55.50697326660156
43	55.506954193115234
