step	mean_squared_error
0	3123.49609375
1	3123.656982421875
2	3123.80615234375
3	3123.676513671875
4	3123.570068359375
5	3123.631591796875
6	3123.040771484375
7	3123.514404296875
8	3123.448486328125
9	3123.27783203125
10	3123.171630859375
