step	mean_absolute_percentage_error
0	98.40531158447266
1	98.22023010253906
2	98.21246337890625
3	98.21006774902344
4	98.2088623046875
5	98.20819854736328
6	98.20787811279297
7	98.20755004882812
8	98.20745086669922
9	98.20726013183594
10	98.20720672607422
11	98.2071533203125
12	98.20701599121094
13	98.20700073242188
14	98.20693969726562
15	98.20696258544922
16	98.20691680908203
17	98.20690155029297
18	98.20693969726562
19	98.20690155029297
20	98.20697784423828
21	98.20690155029297
22	98.20683288574219
23	98.20691680908203
24	98.20687866210938
25	98.20687103271484
26	98.20686340332031
27	98.20684051513672
28	98.20690155029297
29	98.20684051513672
30	98.20684051513672
31	98.20683288574219
32	98.20684051513672
33	98.20679473876953
34	98.20690155029297
35	98.2068099975586
36	98.20684051513672
37	98.20679473876953
38	98.20687103271484
39	98.2068099975586
40	98.20684051513672
41	98.20686340332031
42	98.20682525634766
43	98.20686340332031
