step	custom_r_squared
0	-60.556148529052734
1	-60.39191436767578
2	-60.53253173828125
3	-60.7279167175293
4	-60.78811264038086
5	-60.58475112915039
6	-60.624629974365234
7	-60.57411575317383
8	-60.486244201660156
9	-60.73123550415039
10	-60.667396545410156
