step	r2_score
0	-72.91625213623047
1	-72.79470825195312
2	-72.78453826904297
3	-72.78589630126953
4	-72.78694152832031
5	-72.7802734375
6	-72.77435302734375
7	-72.77709197998047
8	-72.77188110351562
9	-72.77686309814453
10	-72.77620697021484
11	-72.7781982421875
12	-72.78011322021484
13	-72.78266906738281
14	-72.7846908569336
15	-72.78817749023438
16	-72.77498626708984
17	-72.78105163574219
18	-72.77395629882812
19	-72.77749633789062
20	-72.78205108642578
21	-72.77593994140625
22	-72.77539825439453
23	-72.78201293945312
24	-72.78302001953125
25	-72.77790832519531
26	-72.78250122070312
27	-72.77743530273438
28	-72.77842712402344
29	-72.78250885009766
30	-72.78052520751953
31	-72.7824935913086
32	-72.78499603271484
33	-72.77488708496094
34	-72.77841186523438
35	-72.78097534179688
36	-72.77436065673828
37	-72.77488708496094
38	-72.77947998046875
39	-72.77635955810547
40	-72.77892303466797
41	-72.77088928222656
42	-72.77848052978516
43	-72.78045654296875
44	-72.7744140625
45	-72.78302001953125
