step	mean_absolute_error
0	56.87564468383789
1	56.825355529785156
2	56.822715759277344
3	56.82190704345703
4	56.82146072387695
5	56.82123947143555
6	56.82111740112305
7	56.82102584838867
8	56.82091522216797
9	56.820884704589844
10	56.820838928222656
11	56.82085418701172
12	56.82085037231445
13	56.820777893066406
14	56.8208122253418
15	56.82079315185547
16	56.820777893066406
17	56.82077407836914
18	56.82073211669922
19	56.82075119018555
20	56.820762634277344
21	56.82072448730469
22	56.82073211669922
23	56.82075119018555
24	56.820735931396484
25	56.82072448730469
26	56.820735931396484
27	56.82072448730469
28	56.82072448730469
29	56.82073211669922
30	56.82072067260742
31	56.82075500488281
32	56.820762634277344
33	56.82069778442383
34	56.82073211669922
35	56.82073211669922
36	56.82071304321289
37	56.82070541381836
38	56.820743560791016
39	56.82072448730469
40	56.82073211669922
41	56.820701599121094
42	56.82072067260742
43	56.82073974609375
44	56.820716857910156
45	56.82073974609375
