step	mean_squared_error
0	3273.150634765625
1	3272.557861328125
2	3273.32373046875
3	3272.97021484375
4	3272.99365234375
5	3273.079833984375
6	3272.78076171875
7	3273.471435546875
8	3273.123779296875
9	3273.044921875
10	3273.026123046875
