step	mean_absolute_percentage_error
0	98.34417724609375
1	98.25564575195312
2	98.25103759765625
3	98.24954223632812
4	98.24878692626953
5	98.24842834472656
6	98.24821472167969
7	98.24805450439453
8	98.24783325195312
9	98.247802734375
10	98.24775695800781
11	98.24768829345703
12	98.24765014648438
13	98.24766540527344
14	98.24759674072266
15	98.24752807617188
16	98.24755859375
17	98.24755859375
18	98.24749755859375
19	98.24752044677734
20	98.24751281738281
21	98.24759674072266
22	98.24752044677734
23	98.24755096435547
24	98.24751281738281
25	98.2474594116211
26	98.2475357055664
27	98.24752807617188
28	98.24752807617188
29	98.24755096435547
30	98.24749755859375
31	98.2474365234375
32	98.24748992919922
33	98.24748992919922
34	98.24755859375
35	98.2474594116211
36	98.24742126464844
37	98.24747467041016
38	98.24755859375
39	98.2475357055664
40	98.24751281738281
41	98.2474365234375
42	98.24755096435547
43	98.24756622314453
44	98.24755096435547
45	98.24752807617188
