step	root_mean_squared_error
0	57.264156341552734
1	57.214298248291016
2	57.211734771728516
3	57.210880279541016
4	57.21049880981445
5	57.21027755737305
6	57.21014404296875
7	57.210025787353516
8	57.2099723815918
9	57.209938049316406
10	57.20988082885742
11	57.20986557006836
12	57.20982360839844
13	57.2098274230957
14	57.20982360839844
15	57.20979690551758
16	57.209800720214844
17	57.20978927612305
18	57.20979309082031
19	57.20978927612305
20	57.20978546142578
21	57.20977783203125
22	57.20976257324219
23	57.20977020263672
24	57.20976638793945
25	57.20975112915039
26	57.20976257324219
27	57.20976638793945
28	57.20975875854492
29	57.20976638793945
30	57.20978546142578
31	57.20975875854492
32	57.209747314453125
33	57.20976257324219
34	57.20975112915039
35	57.20975875854492
36	57.209754943847656
37	57.20976257324219
38	57.20977020263672
39	57.209739685058594
40	57.20975112915039
41	57.20978927612305
42	57.20977783203125
43	57.20975875854492
44	57.20977783203125
45	57.20976638793945
