step	r2_score
0	-62.50321960449219
1	-62.441680908203125
2	-62.440589904785156
3	-62.43557357788086
4	-62.43541717529297
5	-62.438133239746094
6	-62.436824798583984
7	-62.43175506591797
8	-62.43888854980469
9	-62.43799591064453
10	-62.441429138183594
11	-62.433414459228516
12	-62.439476013183594
13	-62.43412780761719
14	-62.44055938720703
15	-62.439361572265625
16	-62.438232421875
17	-62.434814453125
18	-62.4351806640625
19	-62.43101119995117
20	-62.437496185302734
21	-62.438209533691406
22	-62.4416389465332
23	-62.43629837036133
24	-62.43399429321289
25	-62.4366455078125
26	-62.43972396850586
27	-62.434024810791016
28	-62.439361572265625
29	-62.43059539794922
30	-62.44007873535156
31	-62.43854522705078
32	-62.43592834472656
33	-62.43214797973633
34	-62.4393424987793
35	-62.43743896484375
36	-62.4382209777832
37	-62.43632888793945
38	-62.4427490234375
39	-62.43856430053711
