step	mean_absolute_percentage_error
0	98.28179168701172
1	98.23589324951172
2	98.23310852050781
3	98.23212432861328
4	98.23165130615234
5	98.23146057128906
6	98.23127746582031
7	98.23111724853516
8	98.23108673095703
9	98.23097229003906
10	98.23101806640625
11	98.2309341430664
12	98.2309341430664
13	98.23092651367188
14	98.23088073730469
15	98.2308578491211
16	98.23088836669922
17	98.2308578491211
18	98.23080444335938
19	98.23085021972656
20	98.23082733154297
21	98.23082733154297
22	98.2308120727539
23	98.23084259033203
24	98.2308578491211
25	98.23084259033203
26	98.23080444335938
27	98.2308120727539
28	98.23080444335938
29	98.23084259033203
30	98.23077392578125
31	98.23080444335938
32	98.2308578491211
33	98.23081970214844
34	98.2308578491211
35	98.23080444335938
36	98.23081970214844
37	98.2308120727539
38	98.23081970214844
39	98.23081970214844
