step	custom_r_squared
0	-59.629066467285156
1	-59.81128692626953
2	-60.027339935302734
3	-59.95071029663086
4	-59.91080856323242
5	-59.9798698425293
6	-60.02402877807617
7	-59.82154083251953
8	-59.79438781738281
9	-59.73952102661133
10	-59.83131790161133
