step	mean_absolute_error
0	56.438663482666016
1	56.41267395019531
2	56.4111442565918
3	56.41056442260742
4	56.4102897644043
5	56.41014099121094
6	56.41006851196289
7	56.40998077392578
8	56.40998077392578
9	56.409934997558594
10	56.409942626953125
11	56.40987014770508
12	56.409912109375
13	56.409873962402344
14	56.40989303588867
15	56.40987777709961
16	56.40987777709961
17	56.409854888916016
18	56.409820556640625
19	56.409820556640625
20	56.40985870361328
21	56.409854888916016
22	56.40985870361328
23	56.40985107421875
24	56.40983581542969
25	56.40983963012695
26	56.40985107421875
27	56.409820556640625
28	56.409847259521484
29	56.409820556640625
30	56.409854888916016
31	56.409854888916016
32	56.40983200073242
33	56.409812927246094
34	56.409828186035156
35	56.40985107421875
36	56.409828186035156
37	56.409820556640625
38	56.409873962402344
39	56.40983581542969
