step	mean_squared_error
0	3236.2900390625
1	3233.347412109375
2	3233.175537109375
3	3233.11376953125
4	3233.086181640625
5	3233.06982421875
6	3233.061279296875
7	3233.054443359375
8	3233.05029296875
9	3233.04345703125
10	3233.044189453125
11	3233.042236328125
12	3233.041259765625
13	3233.039794921875
14	3233.03857421875
15	3233.03564453125
16	3233.0361328125
17	3233.0361328125
18	3233.03564453125
19	3233.035888671875
20	3233.037353515625
21	3233.034912109375
22	3233.03564453125
23	3233.034423828125
24	3233.033203125
25	3233.03271484375
26	3233.03466796875
27	3233.03466796875
28	3233.03564453125
29	3233.033935546875
30	3233.033447265625
31	3233.03271484375
32	3233.034912109375
33	3233.035888671875
34	3233.03466796875
35	3233.034423828125
36	3233.03564453125
37	3233.035888671875
38	3233.033935546875
39	3233.03369140625
