step	loss
0	3225.996826171875
1	2841.853271484375
2	2087.05224609375
3	1159.243896484375
4	459.07586669921875
5	139.0550537109375
6	57.5821533203125
7	46.01475524902344
8	43.330562591552734
9	43.73417282104492
10	41.60908126831055
11	40.34539031982422
12	40.39704132080078
13	38.750633239746094
14	38.177982330322266
15	37.26617431640625
16	36.289154052734375
17	35.611732482910156
18	34.78120803833008
19	34.00507354736328
20	33.745323181152344
21	32.447296142578125
22	32.28144454956055
23	31.525428771972656
24	31.050270080566406
25	30.412429809570312
26	29.803974151611328
27	29.92921257019043
28	28.635684967041016
29	28.666248321533203
30	27.927268981933594
31	27.121484756469727
32	26.80908966064453
33	26.710744857788086
34	25.95526123046875
